School ID,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female,SPED NG Male,SPED NG Female
300001,20,12,13,17,10,15,17,14,0,0,0,0,0,0
300002,240,288,229,258,225,231,261,207,0,0,0,0,0,0
300003,89,84,78,88,65,76,54,79,0,0,0,0,0,0
300004,38,47,47,54,39,42,52,45,0,0,0,0,0,0
300005,78,70,60,61,68,64,53,50,0,0,0,0,0,0
300006,79,63,90,84,74,62,74,73,0,0,0,0,0,0
300007,41,47,64,51,41,49,41,58,0,0,0,0,0,0
300008,35,24,31,31,26,30,34,23,0,0,0,0,0,0
300009,15,20,21,20,10,16,20,11,0,0,0,0,0,0
300010,37,24,39,29,28,35,39,25,0,0,0,0,0,0
300011,32,34,42,37,37,50,35,29,0,0,0,0,0,0
300012,27,35,35,34,30,18,28,31,0,0,0,0,0,0
300013,31,34,29,24,38,30,21,33,0,0,0,0,0,0
300014,56,61,46,62,52,45,49,38,0,0,0,0,0,0
300015,108,121,101,97,71,90,92,59,0,0,0,0,0,0
300016,87,82,97,68,81,67,71,56,0,0,0,0,0,0
300017,24,29,13,29,14,14,11,19,0,0,0,0,0,0
300018,143,152,161,137,120,137,104,123,0,0,0,0,0,0
300019,72,56,54,74,45,60,45,49,0,0,0,0,0,0
300020,112,98,84,113,81,92,85,95,0,0,0,0,0,0
300021,43,32,56,41,37,28,29,31,0,0,0,0,0,0
300022,64,65,58,72,44,45,50,66,0,0,0,0,0,0
300023,40,28,46,34,39,37,37,34,0,0,0,0,0,0
300024,83,71,81,73,78,60,49,57,0,0,0,0,0,0
300025,48,37,32,37,42,44,40,55,0,0,0,0,0,0
300026,50,39,45,43,46,30,42,25,0,0,0,0,0,0
300027,128,120,94,92,78,91,75,69,0,0,0,0,0,0
300028,198,189,201,200,187,187,172,179,0,0,0,0,0,0
300029,165,155,146,119,140,166,138,107,0,0,0,0,0,0
300030,102,106,123,107,109,93,74,79,0,0,0,0,0,0
300031,39,39,47,35,28,39,35,32,0,0,0,0,0,0
300032,24,32,34,26,24,25,20,24,0,0,0,0,0,0
300033,79,65,64,77,65,59,67,54,0,0,0,0,0,0
300034,38,22,39,26,35,28,0,0,0,0,0,0,27,34
300035,145,129,117,155,108,120,101,108,0,0,0,0,0,0
300036,41,36,35,36,33,46,21,20,0,0,0,0,0,0
300037,84,57,59,61,72,42,42,54,0,0,0,0,0,0
300038,61,46,76,48,40,50,50,38,0,0,0,0,0,0
300039,10,13,17,12,20,6,14,7,0,0,0,0,0,0
300040,0,0,0,0,3,0,4,0,0,0,0,0,0,0
300041,88,70,117,79,90,73,89,68,0,0,0,0,0,0
300042,27,31,40,27,45,36,29,32,0,0,0,0,0,0
300043,97,104,132,105,108,94,71,72,0,0,0,0,0,0
300044,297,292,276,289,251,270,229,255,0,0,0,0,0,0
300045,59,29,33,26,49,35,35,41,0,0,0,0,0,0
300046,105,99,99,117,75,107,78,83,0,0,0,0,0,0
300047,38,40,34,25,32,33,33,25,0,0,0,0,0,0
300048,34,34,33,16,24,27,25,28,0,0,0,0,0,0
300049,79,52,75,49,72,66,69,56,0,0,0,0,0,0
300050,15,15,11,17,13,15,14,20,0,0,0,0,0,0
300051,50,47,55,52,52,60,51,37,0,0,0,0,0,0
300052,580,687,585,700,467,619,480,594,0,0,0,0,0,0
300053,21,12,29,20,15,17,27,23,0,0,0,0,0,0
300054,47,35,42,41,37,43,32,36,0,0,0,0,0,0
300055,52,27,31,38,24,25,24,21,0,0,0,0,0,0
300056,101,91,116,82,79,63,63,79,0,0,0,0,0,0
300057,106,91,104,80,106,87,86,70,0,0,0,0,0,0
300058,26,14,22,19,25,20,26,27,0,0,0,0,0,0
300059,68,46,66,47,60,46,47,36,0,0,0,0,0,0
300060,72,43,66,56,47,52,47,46,0,0,0,0,0,0
300061,30,24,27,21,17,25,20,21,0,0,0,0,0,0
300062,41,29,32,31,39,34,36,33,0,0,0,0,0,0
300063,297,304,284,288,248,264,199,256,0,0,0,0,0,0
300064,44,30,37,49,22,22,16,32,0,0,0,0,0,0
300065,20,18,21,9,21,20,25,17,0,0,0,0,0,0
300066,21,25,26,16,20,26,20,15,0,0,0,0,0,0
300067,27,23,44,27,25,20,16,26,0,0,0,0,0,0
300068,15,13,14,16,20,17,9,11,0,0,0,0,0,0
300069,54,43,43,51,41,39,32,37,0,0,0,0,0,0
300070,60,42,34,43,45,46,44,35,0,0,0,0,0,0
300071,12,9,8,21,18,16,12,13,0,0,0,0,0,0
300072,99,117,92,100,87,100,81,87,0,0,0,0,0,0
300073,82,59,98,73,69,62,66,66,0,0,0,0,0,0
300074,26,14,25,17,17,22,21,28,0,0,0,0,0,0
300075,73,61,66,58,58,52,56,64,0,0,0,0,0,0
300076,21,21,29,22,20,16,31,12,0,0,0,0,0,0
300077,191,183,200,186,177,177,118,135,0,0,0,0,0,0
300078,96,84,47,65,58,63,54,54,0,0,0,0,0,0
300079,16,8,19,12,10,12,21,10,0,0,0,0,0,0
300080,291,274,270,302,220,285,234,290,0,0,0,0,0,0
300081,39,35,27,27,48,27,29,28,0,0,0,0,0,0
300083,73,50,83,66,61,65,57,44,0,0,0,0,0,0
300084,20,18,14,18,27,22,13,12,0,0,0,0,0,0
300085,69,61,62,56,61,65,47,46,0,0,0,0,0,0
300086,337,289,307,254,274,272,220,242,0,0,0,0,0,0
300087,31,28,19,23,30,17,33,16,0,0,0,0,0,0
300088,81,80,90,86,51,78,72,60,0,0,0,0,0,0
300089,39,27,32,28,25,32,24,27,0,0,0,0,0,0
300090,26,23,31,22,24,22,37,25,0,0,0,0,0,0
300091,43,39,35,40,35,30,37,39,0,0,0,0,0,0
300092,45,40,41,33,34,38,25,42,0,0,0,0,0,0
300093,206,245,243,238,184,198,153,174,0,0,0,0,7,2
300094,74,55,61,44,57,46,56,42,0,0,0,0,0,0
300095,291,263,251,263,258,242,250,207,0,0,0,0,0,0
300096,42,27,39,39,29,33,32,28,0,0,0,0,5,2
300097,42,25,34,26,24,45,30,33,0,0,0,0,0,0
300098,20,16,18,16,18,19,25,11,0,0,0,0,0,0
300099,30,20,22,30,31,14,24,26,0,0,0,0,0,0
300100,35,26,32,24,25,29,28,32,0,0,0,0,0,0
300101,42,27,41,45,36,35,44,22,0,0,0,0,0,0
300102,45,46,41,39,51,44,51,47,0,0,0,0,0,0
300103,31,32,36,28,25,19,29,35,0,0,0,0,0,0
300104,59,73,81,59,86,86,76,88,0,0,0,0,0,0
300105,22,26,23,21,28,26,28,17,0,0,0,0,0,0
300106,150,154,148,134,145,127,99,108,0,0,0,0,0,0
300107,37,29,44,29,34,35,39,33,0,0,0,0,0,0
300108,19,26,20,15,19,17,21,22,0,0,0,0,0,0
300109,107,103,101,80,95,77,80,83,0,0,0,0,0,0
300110,18,21,29,8,16,17,25,11,0,0,0,0,0,0
300111,57,54,48,34,36,46,31,40,0,0,0,0,0,0
300112,362,321,360,293,324,302,298,275,0,0,0,0,0,0
300113,38,33,34,27,36,36,32,37,0,0,0,0,0,0
300114,309,239,235,228,248,209,181,198,0,0,0,0,0,0
300115,30,32,42,25,48,39,43,29,0,0,0,0,0,0
300116,43,37,45,52,40,37,31,37,0,0,0,0,0,0
300117,18,22,12,16,13,18,16,19,0,0,0,0,0,0
300118,591,499,608,509,574,524,488,524,0,0,0,0,0,0
300119,44,54,44,46,49,35,41,32,0,0,0,0,0,0
300120,131,112,118,127,110,121,101,104,0,0,0,0,0,0
300121,45,51,43,41,29,34,38,27,0,0,0,0,0,0
300122,300,316,292,262,239,268,262,273,0,0,0,0,0,0
300123,69,61,61,52,59,58,59,64,0,0,0,0,0,0
300124,68,46,56,51,61,46,42,53,0,0,0,0,0,0
300125,33,24,21,25,20,29,20,21,0,0,0,0,0,0
300126,9,11,13,9,6,9,12,12,0,0,0,0,0,0
300127,35,42,27,30,37,28,37,34,0,0,0,0,0,0
300128,51,35,44,36,36,56,36,19,0,0,0,0,0,0
300129,120,118,156,132,100,92,126,138,0,0,0,0,0,0
300130,263,284,286,294,257,240,215,207,0,0,0,0,0,0
300131,101,91,82,81,65,65,55,77,0,0,0,0,0,0
300132,44,81,47,80,47,56,29,53,0,0,0,0,0,0
300133,227,225,232,258,216,200,176,187,0,0,0,0,0,0
