school.id,school.name,school.enrollment,school.offering, school.mooe 
305075,Abra HS,2481,Secondary," 2,182,000.00 "
134966,Agtangao ES,376,Elementary," 227,000.00 "
134967,Bacsil ES,218,Elementary," 144,000.00 "
134968,Bangued East CS,443,Elementary," 339,000.00 "
134969,Bangued North ES,307,Elementary," 178,000.00 "
134970,Calot ES,232,Elementary," 138,000.00 "
134971,Cosili ES,260,Elementary," 186,000.00 "
218504,Cosili West PS,68,Elementary," 70,000.00 "
218506,Lubong PS,42,Elementary," 67,000.00 "
134972,Macarcarmay ES,138,Elementary," 121,000.00 "
218507,Malita PS,48,Elementary," 66,000.00 "
134973,Maoay ES,132,Elementary," 122,000.00 "
134974,Sappaac ES,212,Elementary," 141,000.00 "
134975,Sinalang Pilot ES,649,Elementary," 355,000.00 "
134976,Sinapangan ES,385,Elementary," 220,000.00 "
218505,Sta. Rosa PS,23,Elementary," 49,000.00 "
134977,Bañacao ES,222,Elementary," 150,000.00 "
134978,Bangbangar ES,187,Elementary," 158,000.00 "
134979,Bangued West CS,1260,Elementary," 585,000.00 "
134980,Calaba ES,328,Elementary," 185,000.00 "
134981,Dangdangla ES,164,Elementary," 120,000.00 "
134982,Patucannay ES,342,Elementary," 197,000.00 "
134983,Sagap PS,98,Elementary," 96,000.00 "
134984,San Antonio ES,173,Elementary," 131,000.00 "
135169,Amti ES,61,Elementary," 113,000.00 "
135171,Baoyan ES,92,Elementary," 108,000.00 "
135174,Boliney CS,100,Elementary," 119,000.00 "
305078,Boliney NHS,152,Secondary," 240,000.00 "
135180,Danac ES,160,Elementary," 142,000.00 "
135181,Dao-angan PS,55,Elementary," 74,000.00 "
135183,Dumagas ES,73,Elementary," 83,000.00 "
135185,Kilong-olao ES,52,Elementary," 87,000.00 "
135187,Lawigan PS,7,Elementary," 60,000.00 "
134985,Abang ES,141,Elementary," 116,000.00 "
134987,Bangbangcag PS,63,Elementary," 79,000.00 "
134988,Bangcagan PS,33,Elementary," 60,000.00 "
134989,Bucay CS,567,Elementary," 299,000.00 "
134990,Bucay North ES,188,Elementary," 134,000.00 "
134991,Bugbog ES,118,Elementary," 111,000.00 "
134992,Calao ES,140,Elementary," 102,000.00 "
305082,Cristina B. Gonzales MHS,733,Secondary," 787,000.00 "
134994,Dugong ES,257,Elementary," 164,000.00 "
134995,Layugan ES,295,Elementary," 173,000.00 "
134997,Lublubnac PS,23,Elementary," 59,000.00 "
134999,Madalipay ES,116,Elementary," 109,000.00 "
135001,Pagala East PS,25,Elementary," 62,000.00 "
135002,Pagala West ES,120,Elementary," 114,000.00 "
305092,Pangtod NHS,295,Secondary," 357,000.00 "
135003,Patoc ES,118,Elementary," 108,000.00 "
135004,Quimloong ES,79,Elementary," 78,000.00 "
135008,Siwasiw ES,225,Elementary," 140,000.00 "
135010,Tabiog ES,223,Elementary," 144,000.00 "
305085,Dugong NHS,218,Secondary," 283,000.00 "
135175,Bucloc CS,62,Elementary," 116,000.00 "
135179,Daldalao ES,90,Elementary," 109,000.00 "
135182,Ducligan ES,87,Elementary," 107,000.00 "
135188,Lingey ES,95,Elementary," 118,000.00 "
305080,Capitan NHS,195,Secondary," 282,000.00 "
135176,Cabaruyan ES,94,Elementary," 106,000.00 "
135178,Daguioman CS,132,Elementary," 118,000.00 "
135192,Pikek PS,40,Elementary," 54,000.00 "
135026,Abaquid ES,144,Elementary," 119,000.00 "
135030,Danglas CS,137,Elementary," 142,000.00 "
135036,Manganip ES,90,Elementary," 108,000.00 "
135038,Nagaparan ES,135,Elementary," 115,000.00 "
135039,Padangitan ES,88,Elementary," 108,000.00 "
305105,Western Abra NHS,438,Secondary," 498,000.00 "
135015,Cabaroan ES,70,Elementary," 89,000.00 "
135016,Cardona ES,105,Elementary," 102,000.00 "
135017,Dolores CS,435,Elementary," 255,000.00 "
135019,Don Rosalio Eduarte ES,303,Elementary," 161,000.00 "
135020,Kimmalaba ES,122,Elementary," 130,000.00 "
218501,Libtec ES,119,Elementary," 102,000.00 "
218521,Lourdes Zapata PS,47,Elementary," 66,000.00 "
135021,Mudiit ES,191,Elementary," 135,000.00 "
135022,Pacac ES,86,Elementary," 95,000.00 "
305096,Rosalio Eduarte NHS,428,Secondary," 440,000.00 "
135023,Taping ES,101,Elementary," 107,000.00 "
135027,Benben PS,72,Elementary," 88,000.00 "
135028,Bulbulala ES,299,Elementary," 190,000.00 "
135029,Canan ES,255,Elementary," 158,000.00 "
135031,Gongonot PS,22,Elementary," 64,000.00 "
135032,Isit PS,62,Elementary," 86,000.00 "
135033,La Paz CS,639,Elementary," 366,000.00 "
135034,Liguis ES,144,Elementary," 124,000.00 "
135035,Malabbaga ES,215,Elementary," 132,000.00 "
318701,MARC YSRAEL B. BERNOS MEMORIAL NATIONAL HIGH SCHOOL,577,Secondary," 568,000.00 "
135037,Mudeng ES,207,Elementary," 147,000.00 "
135040,Pidipid ES,135,Elementary," 122,000.00 "
135041,San Gregorio ES,170,Elementary," 132,000.00 "
135042,Sidongan PS,15,Elementary," 59,000.00 "
135043,Toon ES,112,Elementary," 111,000.00 "
135044,Udangan PS,44,Elementary," 71,000.00 "
135047,Bacag ES,75,Elementary," 87,000.00 "
135055,Buneg PS,33,Elementary," 53,000.00 "
135064,Lacub CS,233,Elementary," 145,000.00 "
135067,Lan-ag ES,101,Elementary," 95,000.00 "
135076,Pacoc ES,99,Elementary," 108,000.00 "
135079,Sap-al PS,37,Elementary," 67,000.00 "
135083,Talipogo PS,36,Elementary," 61,000.00 "
135048,Bacooc ES,99,Elementary," 98,000.00 "
135057,Caridad Azares ES,161,Elementary," 122,000.00 "
135058,Cayapa ES,167,Elementary," 139,000.00 "
305081,Cayapa NHS,164,Secondary," 283,000.00 "
135059,Dalaguisen PS,131,Elementary," 91,000.00 "
135062,Gaddani ES,48,Elementary," 62,000.00 "
135065,Lagangilang CS,327,Elementary," 243,000.00 "
135066,Lagben PS,18,Elementary," 54,000.00 "
135073,Metodio ES,166,Elementary," 122,000.00 "
135074,Nagtipulan ES,165,Elementary," 126,000.00 "
135077,Paganao PS,40,Elementary," 62,000.00 "
135078,Presentar ES,128,Elementary," 123,000.00 "
135082,Tagodtod ES,350,Elementary," 210,000.00 "
305102,Tagodtod NHS,479,Secondary," 514,000.00 "
218514,Taping PS,21,Elementary," 65,000.00 "
135085,Villa San Isidro ES,197,Elementary," 131,000.00 "
218503,Willy Castillo PS,13,Elementary," 56,000.00 "
135200,Ba-i Elementary School,154,Elementary," 124,000.00 "
135202,Baybayatin PS,41,Elementary," 59,000.00 "
135208,Collago ES,129,Elementary," 104,000.00 "
135210,Kiwas PS,39,Elementary," 62,000.00 "
135212,Lagayan CS,209,Elementary," 149,000.00 "
135214,Lukgay PS,9,Elementary," 51,000.00 "
135219,Pang-ot Primary School,19,Elementary," 62,000.00 "
135220,Pulot ES,180,Elementary," 138,000.00 "
305094,Pulot NHS,314,Secondary," 355,000.00 "
135133,Baac ES,53,Elementary," 70,000.00 "
135136,Langiden CS,103,Elementary," 110,000.00 "
305087,Langiden NHS,198,Secondary," 266,000.00 "
135137,Mabungtot ES,86,Elementary," 93,000.00 "
135138,Malapaao ES,145,Elementary," 115,000.00 "
135142,Quillat ES,131,Elementary," 109,000.00 "
218502,Agat PS,11,Elementary," 50,000.00 "
135046,Baay ES,110,Elementary," 120,000.00 "
305076,Baay NHS,241,Secondary," 279,000.00 "
135050,Baquero ES,79,Elementary," 80,000.00 "
135053,Bonglo PS,35,Elementary," 63,000.00 "
135054,Bulbulala PS,15,Elementary," 52,000.00 "
135056,Caoayan PS,48,Elementary," 63,000.00 "
135060,Diangay PS,40,Elementary," 62,000.00 "
135063,Kileng PS,15,Elementary," 57,000.00 "
135068,Lenneng ES,44,Elementary," 84,000.00 "
135069,Licuan ES,81,Elementary," 109,000.00 "
135075,Nalbuan ES,132,Elementary," 119,000.00 "
135080,Subagan PS,75,Elementary," 82,000.00 "
135081,Sucao ES,67,Elementary," 94,000.00 "
135086,Agumanay ES,10,Elementary," 52,000.00 "
135088,Ampalioc PS,24,Elementary," 70,000.00 "
135092,Barit ES,31,Elementary," 72,000.00 "
135094,Botot ES,51,Elementary," 72,000.00 "
135099,Gayaman ES,134,Elementary," 117,000.00 "
135102,Lipting PS,11,Elementary," 56,000.00 "
135103,Luba CS,159,Elementary," 137,000.00 "
135104,Lul-luno ES,109,Elementary," 119,000.00 "
305088,Lulluno NHS,109,Secondary," 219,000.00 "
135105,Luzong ES,128,Elementary," 127,000.00 "
305089,Luzong NHS,149,Secondary," 245,000.00 "
135106,Pacpaca ES,84,Elementary," 103,000.00 "
135108,Pega PS,9,Elementary," 57,000.00 "
135109,Sabnangan ES,96,Elementary," 112,000.00 "
135112,Tabangao ES,100,Elementary," 105,000.00 "
135114,Tillilo PS,10,Elementary," 59,000.00 "
135117,Tukipa PS,21,Elementary," 55,000.00 "
135049,Bangilo ES,101,Elementary," 102,000.00 "
135051,Bayabas PS,37,Elementary," 61,000.00 "
135052,Binasaran PS,9,Elementary," 55,000.00 "
135061,Dulao ES,19,Elementary," 56,000.00 "
218508,Gacab PS,24,Elementary," 54,000.00 "
218509,Lat-ey PS,17,Elementary," 53,000.00 "
135070,Liwang ES,82,Elementary," 99,000.00 "
135071,Malibcong CS,122,Elementary," 101,000.00 "
135072,Mataragan ES,123,Elementary," 123,000.00 "
305090,Mataragan NAS,155,Secondary," 294,000.00 "
135084,Taripan PS,15,Elementary," 50,000.00 "
134986,Banat ES,198,Elementary," 147,000.00 "
218520,Casakgudan PS,36,Elementary," 58,000.00 "
134993,Catacdegan ES,177,Elementary," 131,000.00 "
134996,Liagan PS,17,Elementary," 51,000.00 "
134998,Madago Primary School,36,Elementary," 61,000.00 "
305098,Manabo NHS (San Jose Catacdegan NHS),582,Secondary," 613,000.00 "
135000,Manabo Pilot ES,548,Elementary," 306,000.00 "
135005,San Jose ES,181,Elementary," 128,000.00 "
135006,San Ramon ES,371,Elementary," 229,000.00 "
135007,Sapdaan PS,98,Elementary," 88,000.00 "
135009,Sto. Tomas PS,71,Elementary," 73,000.00 "
135120,Dumayco PS,65,Elementary," 73,000.00 "
135121,Lusuac ES,188,Elementary," 129,000.00 "
135122,Malamsit ES,93,Elementary," 95,000.00 "
135125,Namarabar ES,149,Elementary," 120,000.00 "
135127,Peñarrubia CS,443,Elementary," 286,000.00 "
135130,Sta. Rosa ES,72,Elementary," 91,000.00 "
218519,Tattawa PS,18,Elementary," 51,000.00 "
135132,Arab ES,196,Elementary," 159,000.00 "
218517,Banay PS,42,Elementary," 65,000.00 "
135134,Casilagan PS,34,Elementary," 62,000.00 "
135135,Garreta ES,196,Elementary," 137,000.00 "
135139,Nagdaingan ES,76,Elementary," 65,000.00 "
218510,Pangtud PS,42,Elementary," 57,000.00 "
135141,Pidigan CS,529,Elementary," 316,000.00 "
218512,Poblacion West PS,17,Elementary," 50,000.00 "
135143,San Diego ES,143,Elementary," 112,000.00 "
135145,Sulbec PS,77,Elementary," 84,000.00 "
