School ID,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused
101746,15,0,0,0
102193,13,3,0,0
101283,7,0,0,0
100216,6,0,0,0
100043,9,0,0,0
100554,5,0,0,0
101131,6,0,0,0
102252,24,0,0,0
100307,6,0,0,0
100100,8,0,0,0
101531,7,0,0,0
100217,6,1,0,0
101223,3,0,0,0
100907,5,0,0,0
100139,4,2,0,0
101887,3,0,0,0
100160,6,0,0,0
100700,6,0,0,0
100762,6,0,0,0
100101,3,0,0,0
102014,2,0,0,0
102226,20,0,0,0
100161,2,0,0,0
100891,8,0,0,0
101132,23,0,0,0
102061,6,0,0,0
100801,31,0,0,0
100809,25,0,0,0
100932,6,0,0,0
101149,18,0,0,0
100325,1,0,0,0
100970,6,0,0,0
101532,12,0,0,0
101166,41,0,0,0
100495,4,0,0,0
100044,2,0,0,0
101694,18,0,0,0
152006,4,0,0,0
100308,6,0,0,0
100555,3,0,0,0
101554,12,0,0,0
101628,6,0,0,0
100858,5,0,0,0
102015,6,0,0,0
100326,9,0,0,0
101261,10,1,0,0
101849,7,0,0,0
102194,5,0,0,0
101807,13,0,0,0
101502,7,0,0,0
101133,3,0,0,0
100425,6,0,0,0
100872,6,0,0,0
101134,14,1,0,0
101167,12,0,0,0
100288,3,0,0,0
100462,6,0,0,0
101850,13,0,0,0
102016,6,0,0,0
101441,6,0,0,0
101116,6,0,0,0
102119,15,0,0,0
101616,8,0,0,0
101284,14,0,0,0
101168,7,0,0,0
101169,8,0,0,0
101262,10,0,0,0
100664,6,0,0,0
101224,3,0,0,0
101918,6,0,0,0
100763,3,0,0,0
100996,6,0,0,0
100997,6,0,0,0
100971,9,0,0,0
101285,7,2,0,0
101089,3,0,0,0
100802,6,0,0,0
101415,12,0,0,0
100628,6,0,0,0
101428,13,0,0,0
100513,5,0,0,0
100426,5,0,0,0
100327,6,0,0,0
101005,10,0,0,0
101047,4,0,1,0
100701,6,0,0,0
101946,6,1,0,0
100328,6,0,0,0
101252,11,0,0,0
101400,5,0,0,0
101202,13,0,0,0
101592,10,0,0,0
101117,12,0,0,0
101384,6,0,0,0
101672,11,0,0,0
100972,6,0,0,0
101919,10,0,0,0
102078,3,0,0,0
102227,13,0,0,0
101808,19,0,0,0
101920,7,0,0,0
101150,12,0,2,0
100453,10,0,0,0
102286,7,0,0,0
102285,12,0,0,0
100386,11,0,0,0
100514,2,0,0,0
100686,4,0,2,0
102236,5,0,0,0
101048,6,0,0,0
101695,12,0,0,0
100001,2,0,0,0
100329,4,0,0,0
100387,7,0,0,0
100873,7,0,0,0
100330,4,0,0,0
101555,10,0,0,0
102182,11,0,0,0
151502,9,0,0,0
102237,7,0,0,0
101225,4,0,0,0
100515,4,0,0,0
101253,12,0,0,0
100874,5,0,0,0
100024,7,0,0,0
100399,4,0,0,0
101921,12,0,0,0
100556,6,0,0,0
100496,3,0,0,0
150001,4,0,0,0
100819,34,0,0,0
101719,6,0,0,0
101720,22,0,0,0
100400,5,0,0,0
101338,19,0,0,0
101135,6,0,0,0
100841,4,0,0,0
101747,6,0,0,0
102017,7,0,0,0
101203,6,0,0,0
101226,3,0,0,0
101947,6,0,0,0
102018,14,0,6,0
100591,1,0,0,0
101533,8,0,0,0
