school.id,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped
100001,0,0,2,0
100002,0,6,11,0
100003,0,1,6,0
100004,0,1,6,0
100005,0,1,6,0
100006,0,1,6,0
100007,0,1,6,0
100008,0,3,11,0
100009,0,1,2,0
100010,0,5,10,4
100011,0,2,12,0
100012,0,0,2,0
100013,0,1,6,0
100014,0,2,11,0
100015,0,2,12,0
100016,0,2,12,0
100017,0,0,3,0
100018,0,0,3,0
100019,0,0,3,0
100020,0,1,7,0
100021,0,0,2,0
100022,0,4,12,0
100023,0,0,7,0
100024,0,1,6,0
100025,0,2,9,0
100026,0,3,17,1
100027,0,0,5,0
100028,0,1,6,0
100029,0,1,9,0
100030,0,0,4,0
100031,0,0,1,0
100032,0,1,9,0
100033,0,0,4,0
100034,0,0,3,0
100035,0,1,8,0
100036,0,0,13,0
100037,0,1,6,0
100038,0,1,5,0
100039,0,0,2,0
100040,0,1,5,0
100041,0,0,3,0
100042,0,1,5,0
100043,0,1,8,0
100044,0,0,1,0
100045,0,0,2,0
100046,0,1,13,0
100047,0,2,15,0
100048,0,1,7,0
100049,0,0,2,0
100050,0,1,8,0
100051,0,2,12,0
100052,0,0,2,0
100053,0,1,6,0
100054,0,0,1,0
100055,0,1,4,0
100056,0,0,2,0
100057,0,1,2,0
100058,0,0,3,0
100059,0,2,19,0
100060,0,0,4,0
100061,0,1,5,0
100062,0,1,3,0
100063,0,1,6,0
100064,0,1,5,0
100065,0,1,6,0
100066,0,0,4,0
100067,0,1,2,0
100068,0,1,4,0
100069,0,2,4,0
100070,0,1,5,0
100071,0,1,2,0
100072,0,0,4,0
100073,0,1,5,0
100074,0,0,4,0
100075,0,3,17,7
100076,0,1,5,0
100077,0,0,3,0
100078,0,2,34,0
100079,0,1,6,0
100080,0,1,6,0
100081,0,1,3,0
100082,0,1,4,0
100083,0,1,3,0
100084,0,1,5,0
100085,0,1,5,0
100086,0,1,5,0
100087,0,1,4,0
100088,0,1,5,0
100089,0,2,16,0
100090,0,1,5,0
100091,0,1,5,0
100092,0,1,5,0
100093,0,0,3,0
100094,0,0,6,0
100095,0,1,5,0
100096,0,5,20,0
100097,0,0,6,0
100098,0,0,6,0
100099,0,1,6,0
100100,0,1,6,0
100101,0,1,2,0
100102,0,0,4,0
100103,0,0,1,0
100104,0,1,9,0
100105,0,2,13,0
100106,0,1,2,0
100107,0,1,5,0
100108,0,1,6,0
100109,0,0,3,0
100110,0,1,2,0
100111,0,0,2,0
100112,0,3,14,0
100113,0,0,5,0
100114,0,1,7,0
100115,0,0,1,0
100116,0,1,3,0
100117,0,0,14,0
100118,0,1,9,0
100119,0,1,11,0
100120,0,2,9,0
100121,0,0,6,0
100122,0,0,6,0
100123,0,1,8,0
100124,0,1,11,0
100125,0,2,12,0
100126,0,1,7,0
100127,0,0,6,0
100128,0,1,5,0
100129,0,0,3,0
100130,0,3,19,0
100131,0,1,5,0
100132,0,1,8,0
100133,0,0,6,0
100134,0,1,10,0
100135,0,0,4,0
100136,0,1,6,0
100137,0,0,3,0
100138,0,1,6,0
100139,0,1,3,0
100140,0,0,2,0
100141,0,0,6,0
100142,0,0,4,0
100143,0,0,3,0
100144,0,1,5,0
100145,0,1,7,0
100146,0,2,6,0
100147,0,0,3,0
100148,0,0,6,0
100149,0,0,3,0
100150,0,2,7,0
100151,0,0,5,0
100152,0,1,7,0
100153,0,0,3,0
100154,0,1,12,0
100155,0,0,7,0
100156,0,0,7,0
100157,0,0,6,0
100158,0,2,5,0
100159,0,0,4,0
100160,0,0,7,0
100161,0,1,1,0
100162,0,0,2,0
100163,0,0,1,0
100164,0,1,5,0
100165,0,0,1,0
100166,0,1,6,0
100167,0,1,5,0
100168,0,0,6,0
100169,0,1,9,0
100170,0,0,2,0
100171,0,3,21,0
100172,0,1,9,0
100173,0,0,8,0
100174,0,1,10,0
100175,0,0,3,0
100176,0,1,5,0
100177,0,0,6,0
100179,0,0,2,0
100180,0,0,2,0
100181,0,0,9,0
100182,0,2,14,0
100183,0,0,2,0
100184,0,0,2,0
100185,0,1,14,0
100186,0,1,6,0
100187,0,0,7,0
100188,0,4,19,0
100189,0,1,6,0
100190,0,1,12,0
100191,0,1,6,0
100192,0,0,3,0
100193,0,0,7,0
100194,0,0,3,0
100195,0,2,11,0
100196,0,0,7,0
100197,0,0,3,0
100198,0,1,7,0
100199,0,3,11,0
100200,0,0,3,0
100201,0,1,6,0
100202,0,2,10,0
100203,0,0,3,0
100204,0,1,6,0
100205,0,0,4,0
100206,0,1,7,0
100207,0,0,2,0
100208,0,3,25,0
100209,0,0,3,0
100210,0,0,4,0
100211,0,0,4,0
100212,0,0,2,0
100213,0,0,1,0
100214,0,0,1,0
100215,0,0,2,0
100216,0,1,6,0
100217,0,1,6,0
100218,0,1,6,0
100219,0,1,5,0
100220,0,1,5,0
100221,0,0,3,0
100222,0,1,7,0
100223,0,0,1,0
100224,0,1,2,0
100225,0,1,2,0
100226,0,0,2,0
100227,0,2,13,0
100228,0,2,13,0
100229,0,0,6,0
100230,0,0,7,0
100231,0,1,6,0
100232,0,0,7,0
100233,0,0,3,0
100234,0,1,8,0
100235,0,0,2,0
100236,0,0,4,0
100237,0,0,2,0
100238,0,0,3,0
100239,0,0,5,0
100240,0,1,9,0
100241,0,3,14,0
100242,0,0,2,0
100243,0,0,3,0
100244,0,1,5,0
100245,0,1,6,0
100246,0,0,4,0
100247,0,0,4,0
100248,0,1,6,0
100249,0,1,7,0
100250,0,1,5,0
100251,0,0,7,0
100252,0,1,8,0
100253,0,2,18,0
100254,0,1,6,0
100255,0,1,8,0
100256,0,1,8,0
100257,0,2,14,0
100258,0,0,7,0
100259,0,0,7,0
100260,0,7,46,0
100261,0,2,7,0
100262,0,1,6,0
100263,0,1,7,0
100264,0,1,10,0
100265,0,0,4,0
100266,0,0,6,0
