,school.id,school.classification,teacher.student,rooms.student,mooe.student,teacher.mooe,rooms.mooe
0,101746,Elementary,39.050000000000004,52.06666666666667,436.61971830985914,17050.0,22733.333333333332
1,102193,Elementary,38.75,35.76923076923077,591.3978494623656,22916.666666666668,21153.846153846152
2,101283,Elementary,29.166666666666664,25.0,754.2857142857143,22000.0,18857.142857142855
3,100216,Elementary,29.833333333333332,29.833333333333332,754.1899441340782,22500.0,22500.0
4,100043,Elementary,33.875,30.11111111111111,671.5867158671587,22750.0,20222.222222222223
5,100554,Elementary,12.666666666666668,7.6000000000000005,2421.0526315789475,30666.666666666668,18400.0
6,101131,Elementary,41.0,41.0,601.6260162601626,24666.666666666668,24666.666666666668
7,102252,Elementary,38.81818181818182,35.583333333333336,515.2224824355972,20000.0,18333.333333333332
8,100307,Elementary,22.833333333333332,22.833333333333332,868.6131386861314,19833.333333333332,19833.333333333332
9,100100,Elementary,32.166666666666664,24.125,782.3834196891191,25166.666666666664,18875.0
10,101531,Elementary,56.83333333333333,48.714285714285715,519.0615835777126,29500.0,25285.714285714286
11,100217,Elementary,26.333333333333332,26.333333333333332,835.4430379746835,22000.0,22000.0
12,101223,Elementary,24.333333333333336,24.333333333333336,1136.986301369863,27666.666666666668,27666.666666666668
13,100907,Elementary,51.0,51.0,627.4509803921569,32000.0,32000.0
14,100139,Elementary,37.333333333333336,28.0,1026.7857142857142,38333.33333333333,28750.000000000004
16,100160,Elementary,37.285714285714285,43.5,586.2068965517242,21857.14285714286,25500.0
17,100700,Elementary,21.666666666666664,32.5,774.3589743589744,16777.777777777777,25166.666666666664
18,100762,Elementary,34.5,34.5,685.9903381642512,23666.666666666668,23666.666666666668
19,100891,Elementary,39.285714285714285,34.375,600.0,23571.428571428572,20625.0
22,102226,Elementary,37.25,37.25,511.40939597315435,19050.0,19050.0
24,101132,Elementary,40.666666666666664,31.82608695652174,535.5191256830601,21777.777777777777,17043.478260869564
25,102061,Elementary,36.714285714285715,42.833333333333336,649.8054474708172,23857.14285714286,27833.333333333332
26,100801,Elementary,39.5,35.67741935483871,501.8083182640145,19821.428571428572,17903.225806451614
27,100809,Elementary,60.74999999999999,48.6,456.7901234567901,27750.0,22200.0
28,100932,Elementary,36.0,18.0,990.7407407407408,35666.666666666664,17833.333333333332
29,101149,Elementary,38.758620689655174,62.44444444444444,476.8683274021352,18482.758620689656,29777.777777777777
31,100970,Elementary,30.666666666666668,30.666666666666668,690.2173913043479,21166.666666666664,21166.666666666664
32,101532,Elementary,37.45454545454545,34.333333333333336,570.3883495145631,21363.636363636364,19583.333333333332
33,101166,Elementary,51.641025641025635,49.1219512195122,445.38232373386296,23000.0,21878.048780487807
34,100495,Elementary,37.0,27.75,873.8738738738739,32333.333333333332,24250.0
36,101694,Elementary,34.7,38.55555555555556,536.0230547550432,18600.0,20666.666666666668
37,152006,Elementary,41.0,41.0,731.7073170731708,30000.0,30000.0
38,100308,Elementary,24.666666666666664,24.666666666666664,831.081081081081,20500.0,20500.0
39,100555,Elementary,23.5,31.333333333333336,946.8085106382979,22250.0,29666.666666666668
40,101554,Elementary,49.30769230769231,53.416666666666664,478.93915756630264,23615.384615384617,25583.333333333332
41,101628,Elementary,49.2,41.0,593.4959349593496,29200.000000000004,24333.333333333332
42,100858,Elementary,21.799999999999997,21.799999999999997,981.651376146789,21400.0,21400.0
43,102015,Elementary,31.5,31.5,682.5396825396825,21500.0,21500.0
44,100326,Elementary,20.636363636363637,25.22222222222222,859.0308370044053,17727.272727272728,21666.666666666668
45,101261,Elementary,59.800000000000004,29.900000000000002,682.2742474916388,40800.0,20400.0
46,101849,Elementary,35.111111111111114,45.142857142857146,575.9493670886076,20222.222222222223,26000.0
47,102194,Elementary,22.333333333333336,26.8,880.5970149253732,19666.666666666668,23600.0
48,101807,Elementary,50.909090909090914,43.07692307692307,507.14285714285717,25818.181818181816,21846.153846153848
49,101502,Elementary,33.285714285714285,33.285714285714285,673.8197424892704,22428.571428571428,22428.571428571428
50,101133,Elementary,29.0,29.0,1149.4252873563219,33333.333333333336,33333.333333333336
51,100425,Elementary,36.33333333333333,36.33333333333333,633.0275229357799,23000.0,23000.0
52,100872,Elementary,28.71428571428571,33.5,661.6915422885572,19000.0,22166.666666666668
53,101134,Elementary,42.916666666666664,36.785714285714285,483.49514563106794,20750.0,17785.714285714286
54,101167,Elementary,42.27272727272727,38.75,526.8817204301075,22272.727272727272,20416.666666666664
55,100288,Elementary,41.0,27.333333333333336,1036.5853658536585,42500.0,28333.333333333336
56,100462,Elementary,32.833333333333336,32.833333333333336,685.2791878172588,22500.0,22500.0
57,101850,Elementary,39.1,30.076923076923073,570.3324808184143,22300.0,17153.846153846152
58,102016,Elementary,34.166666666666664,34.166666666666664,658.5365853658536,22500.0,22500.0
59,101441,Elementary,46.83333333333333,46.83333333333333,576.5124555160143,27000.0,27000.0
60,101116,Elementary,29.285714285714285,34.166666666666664,639.0243902439024,18714.285714285714,21833.333333333336
61,102119,Elementary,54.15384615384615,46.93333333333334,471.59090909090907,25538.46153846154,22133.333333333332
62,101616,Elementary,23.333333333333332,26.249999999999996,733.3333333333334,17111.11111111111,19250.0
63,101284,Elementary,49.15384615384616,45.64285714285714,477.30829420970264,23461.538461538465,21785.714285714286
64,101168,Elementary,34.0,38.85714285714286,610.2941176470588,20750.0,23714.285714285714
65,101169,Elementary,35.16666666666667,26.374999999999996,701.4218009478673,24666.666666666668,18500.0
66,101262,Elementary,35.9,35.9,568.2451253481894,20400.0,20400.0
67,100664,Elementary,31.142857142857142,36.33333333333333,678.8990825688073,21142.85714285714,24666.666666666668
68,101224,Elementary,24.333333333333336,24.333333333333336,1328.7671232876712,32333.333333333332,32333.333333333332
69,101918,Elementary,46.49999999999999,46.49999999999999,580.6451612903226,27000.0,27000.0
71,100996,Elementary,28.799999999999997,24.0,819.4444444444445,23600.0,19666.666666666668
72,100997,Elementary,34.0,22.666666666666664,808.8235294117648,27500.0,18333.333333333332
73,100971,Elementary,32.666666666666664,32.666666666666664,649.6598639455782,21222.222222222223,21222.222222222223
74,101285,Elementary,34.857142857142854,34.857142857142854,655.7377049180328,22857.14285714286,22857.14285714286
75,100802,Elementary,15.5,20.666666666666668,1040.3225806451612,16125.0,21500.0
